4101250251 砂漠 (新潮文庫)
410125026X ゴールデンスランバー (新潮文庫)
4101253323 西の魔女が死んだ (新潮文庫)
4101276315 レインツリーの国 (新潮文庫)
4101290512 太陽の塔 (新潮文庫)
4101353611 陽だまりの彼女 (新潮文庫)
4101355517 向日葵の咲かない夏 (新潮文庫)
4101369127 レベル7(セブン) (新潮文庫)
4101369186 火車 (新潮文庫)
4103018720 キケン
4103534222 1Q84 BOOK 1
4103534230 1Q84 BOOK 2
4103534257 1Q84 BOOK 3
4104596019 重力ピエロ
4104596035 ゴールデンスランバー
4106100037 バカの壁 (新潮新書)
4106103362 日本辺境論 (新潮新書)
4122054257 八日目の蝉 (中公文庫)
4140814047 フリー~〈無料〉からお金を生みだす新戦略
4140815760 MAKERS―21世紀の産業革命が始まる
4150309841 虐殺器官 (ハヤカワ文庫JA)
415031019X ハーモニー (ハヤカワ文庫JA)
4152091312 これからの「正義」の話をしよう――いまを生き延びるための哲学
416380580X 真夏の方程式
4163817700 旅猫リポート
4163821104 色彩を持たない多崎つくると、彼の巡礼の年
416660841X 聞く力―心をひらく35のヒント (文春新書)
4167110067 秘密 (文春文庫)
4167110075 探偵ガリレオ (文春文庫)
4167110083 予知夢 (文春文庫)
4167110113 手紙 (文春文庫)
4167110121 容疑者Xの献身 (文春文庫)
416771101X イン・ザ・プール (文春文庫)
4167728028 オレたちバブル入行組 (文春文庫)
4167728044 オレたち花のバブル組 (文春文庫)
4167732017 イニシエーション・ラブ (文春文庫)
4167745011 死神の精度 (文春文庫)
4167761017 まほろ駅前多田便利軒 (文春文庫)
4167773708 インシテミル (文春文庫)
4167788020 プリンセス・トヨトミ (文春文庫)
4167831015 三匹のおっさん (文春文庫)
4255006210 情報の呼吸法 (アイデアインク)
4334744710 ストロベリーナイト (光文社文庫)
4334927769 舟を編む
4344017226 フリーター、家を買う。
4344019628 心を整える。 勝利をたぐり寄せるための56の習慣
4344022173 空飛ぶ広報室
4344415132 阪急電車 (幻冬舎文庫)
4396332688 陽気なギャングが地球を回す (祥伝社文庫)
4422100513 人を動かす　新装版
