4041002923 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 2 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0
4041003180 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 2 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0
4041005612 0 0 0 1 0 0 2 0 0 0 0 0 0 2 0 2 0 2 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 1 1 0 2 0 2 0 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0
4041101360 2 0 1 0 2 0 0 1 2 0 0 2 2 0 0 0 2 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0
4043718063 0 2 1 1 1 0 0 1 2 0 0 2 0 0 0 0 2 2 0 2 1 1 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 1 1 2 0 0 1 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 2 0
404384901X 0 0 0 1 0 1 2 0 0 0 1 0 0 0 2 2 2 0 0 1 1 2 1 1 1 0 0 2 1 0 1 0 0 0 0 0 1 1 1 0 2 1 1 0 2 1 1 1 1 1 1 0 0 2 0 1 2 0 2 2 2 2 1 1 2
404387801X 0 0 1 0 0 0 2 0 0 0 2 0 0 1 0 2 0 2 0 0 1 0 1 2 0 0 0 2 0 2 1 0 0 0 0 2 0 2 1 0 0 0 1 1 1 0 2 2 2 0 1 2 1 2 0 1 1 0 0 0 0 0 0 0 0
4043878028 0 0 2 1 0 0 2 0 0 0 1 0 1 1 0 2 0 2 1 2 1 0 1 2 0 0 1 2 0 0 0 0 1 0 0 2 1 1 1 0 2 0 2 0 1 0 2 2 1 1 1 2 2 2 1 1 2 0 0 0 0 0 0 1 1
4043898010 1 0 1 0 1 2 0 2 2 1 1 0 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 2 2 0 0 1 2 1 2 1 2 0 2 2 0 1 1 0 2 0 0 2 2 1 0 0 1 2 0 0 0 2 2 0 0 1 1 0 0
4043898029 1 0 1 0 2 2 0 2 2 0 1 0 2 0 0 0 1 0 0 0 0 2 2 0 1 0 0 2 2 0 0 2 2 0 0 1 2 0 2 2 2 1 1 0 2 0 0 2 2 1 1 0 1 2 0 0 0 2 2 0 0 1 1 0 0
